threshold,precision,recall,f1
0.05,0.23470975463794136,0.9061922365988909,0.37284913014545107
0.060000000000000005,0.23478677527551509,0.9057301293900185,0.3729071537290715
0.07,0.23560524101454502,0.9057301293900185,0.37393875798912524
0.08000000000000002,0.23559831629585087,0.905268022181146,0.37389063841969655
0.09000000000000001,0.23556304138594802,0.9048059149722736,0.3738067964872089
0.1,0.23561973525872443,0.9048059149722736,0.3738781745274012
0.11000000000000001,0.2355844468520525,0.9043438077634011,0.37379428898863526
0.12000000000000001,0.8479029813036887,0.7754158964879853,0.8100410330678253
0.13,0.8487607486090035,0.7754158964879853,0.810432262738469
0.14,0.8486842105263158,0.7749537892791127,0.8101449275362319
0.15000000000000002,0.8643630737493554,0.7744916820702403,0.8169631976602486
0.16000000000000003,0.8642930856553147,0.7740295748613678,0.8166747927840078
0.17000000000000004,0.8647392875580795,0.7740295748613678,0.8168739331870275
0.18000000000000005,0.8705148205928237,0.7735674676524954,0.8191827746513335
0.19,0.8709677419354839,0.7735674676524954,0.8193832599118943
0.2,0.8709005726184279,0.7731053604436229,0.819094247246022
0.21000000000000002,0.8712871287128713,0.7726432532347505,0.8190056331129072
0.22000000000000003,0.8716744913928013,0.772181146025878,0.8189169321244792
0.23000000000000004,0.8725182863113897,0.7717190388170055,0.81902893575282
0.24000000000000005,0.8752620545073375,0.7717190388170055,0.8202357563850687
0.25000000000000006,0.8755252100840336,0.7703327171903882,0.8195673549655851
0.26000000000000006,0.8764458464773922,0.7703327171903882,0.8199704869650762
0.27,0.8768421052631579,0.7698706099815157,0.8198818897637795
0.28,0.8880597014925373,0.7698706099815157,0.8247524752475247
0.29000000000000004,0.8880597014925373,0.7698706099815157,0.8247524752475247
0.30000000000000004,0.8884738527214514,0.7694085027726433,0.8246656760772659
0.31000000000000005,0.8893639764831641,0.7689463955637708,0.8247831474597274
0.32000000000000006,0.8893639764831641,0.7689463955637708,0.8247831474597274
0.33,0.9046840958605664,0.7675600739371534,0.8305
0.34,0.9051771117166213,0.7675600739371534,0.8307076769192298
