threshold,TP,FP,TN,FN,precision,recall,FP_cost,FN_cost,total_cost
0.05,1961,6394,91442,203,0.23470975463794136,0.9061922365988909,127880.0,203000.0,330880.0
0.060000000000000005,1960,6388,91448,204,0.23478677527551509,0.9057301293900185,127760.0,204000.0,331760.0
0.07,1960,6359,91477,204,0.23560524101454502,0.9057301293900185,127180.0,204000.0,331180.0
0.08000000000000002,1959,6356,91480,205,0.23559831629585087,0.905268022181146,127120.0,205000.0,332120.0
0.09000000000000001,1958,6354,91482,206,0.23556304138594802,0.9048059149722736,127080.0,206000.0,333080.0
0.1,1958,6352,91484,206,0.23561973525872443,0.9048059149722736,127040.0,206000.0,333040.0
0.11000000000000001,1957,6350,91486,207,0.2355844468520525,0.9043438077634011,127000.0,207000.0,334000.0
0.12000000000000001,1678,301,97535,486,0.8479029813036887,0.7754158964879853,6020.0,486000.0,492020.0
0.13,1678,299,97537,486,0.8487607486090035,0.7754158964879853,5980.0,486000.0,491980.0
0.14,1677,299,97537,487,0.8486842105263158,0.7749537892791127,5980.0,487000.0,492980.0
0.15000000000000002,1676,263,97573,488,0.8643630737493554,0.7744916820702403,5260.0,488000.0,493260.0
0.16000000000000003,1675,263,97573,489,0.8642930856553147,0.7740295748613678,5260.0,489000.0,494260.0
0.17000000000000004,1675,262,97574,489,0.8647392875580795,0.7740295748613678,5240.0,489000.0,494240.0
0.18000000000000005,1674,249,97587,490,0.8705148205928237,0.7735674676524954,4980.0,490000.0,494980.0
0.19,1674,248,97588,490,0.8709677419354839,0.7735674676524954,4960.0,490000.0,494960.0
0.2,1673,248,97588,491,0.8709005726184279,0.7731053604436229,4960.0,491000.0,495960.0
0.21000000000000002,1672,247,97589,492,0.8712871287128713,0.7726432532347505,4940.0,492000.0,496940.0
0.22000000000000003,1671,246,97590,493,0.8716744913928013,0.772181146025878,4920.0,493000.0,497920.0
0.23000000000000004,1670,244,97592,494,0.8725182863113897,0.7717190388170055,4880.0,494000.0,498880.0
0.24000000000000005,1670,238,97598,494,0.8752620545073375,0.7717190388170055,4760.0,494000.0,498760.0
0.25000000000000006,1667,237,97599,497,0.8755252100840336,0.7703327171903882,4740.0,497000.0,501740.0
0.26000000000000006,1667,235,97601,497,0.8764458464773922,0.7703327171903882,4700.0,497000.0,501700.0
0.27,1666,234,97602,498,0.8768421052631579,0.7698706099815157,4680.0,498000.0,502680.0
0.28,1666,210,97626,498,0.8880597014925373,0.7698706099815157,4200.0,498000.0,502200.0
0.29000000000000004,1666,210,97626,498,0.8880597014925373,0.7698706099815157,4200.0,498000.0,502200.0
0.30000000000000004,1665,209,97627,499,0.8884738527214514,0.7694085027726433,4180.0,499000.0,503180.0
0.31000000000000005,1664,207,97629,500,0.8893639764831641,0.7689463955637708,4140.0,500000.0,504140.0
0.32000000000000006,1664,207,97629,500,0.8893639764831641,0.7689463955637708,4140.0,500000.0,504140.0
0.33,1661,175,97661,503,0.9046840958605664,0.7675600739371534,3500.0,503000.0,506500.0
0.34,1661,174,97662,503,0.9051771117166213,0.7675600739371534,3480.0,503000.0,506480.0
0.35000000000000003,1661,172,97664,503,0.906164757228587,0.7675600739371534,3440.0,503000.0,506440.0
0.36000000000000004,1660,172,97664,504,0.9061135371179039,0.767097966728281,3440.0,504000.0,507440.0
0.37000000000000005,1660,171,97665,504,0.906608410704533,0.767097966728281,3420.0,504000.0,507420.0
0.38000000000000006,1659,155,97681,505,0.9145534729878722,0.7666358595194085,3100.0,505000.0,508100.0
0.39000000000000007,1658,155,97681,506,0.9145063430777717,0.7661737523105361,3100.0,506000.0,509100.0
0.4000000000000001,1658,154,97682,506,0.9150110375275938,0.7661737523105361,3080.0,506000.0,509080.0
0.4100000000000001,1657,141,97695,507,0.921579532814238,0.7657116451016636,2820.0,507000.0,509820.0
0.42000000000000004,1657,141,97695,507,0.921579532814238,0.7657116451016636,2820.0,507000.0,509820.0
0.43000000000000005,1657,141,97695,507,0.921579532814238,0.7657116451016636,2820.0,507000.0,509820.0
0.44000000000000006,1656,131,97705,508,0.9266927811975377,0.7652495378927912,2620.0,508000.0,510620.0
